,name,id,smiles,formula
36,abt,None,C1=CC=C2C(=C1)N=NN2N,None
37,abt-737,DB17023,None,C42H45ClN6O5S2
38,aom,None,CN=[N+](C)[O-],None
39,arecoline,DB04365,CN1CCC=C(C1)C(=O)OC,C8H13NO2
40,as(v),None,None,None
41,buforin ii,None,C[C@H]([C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CN=CN2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)O)N)O,None
42,cgs 21680,None,CCNC(=O)[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=C(N=C32)NCCC4=CC=C(C=C4)CCC(=O)O)N)O)O,None
43,cgs21680,None,CCNC(=O)[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=C(N=C32)NCCC4=CC=C(C=C4)CCC(=O)O)N)O)O,None
44,cmc-cys,None,None,None
45,cpa,None,C1CCC(C1)NC2=C3C(=NC=N2)N(C=N3)[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O,None
46,crm197,DB16712,None,None
47,carbamazepine epoxide,None,C1=CC=C2C(=C1)C3C(O3)C4=CC=CC=C4N2C(=O)N,None
48,clofibric acid,None,CC(C)(C(=O)O)OC1=CC=C(C=C1)Cl,None
49,cytochalasin d,None,C[C@H]1C/C=C/[C@H]2[C@@H](C(=C)[C@H]([C@@H]3[C@@]2([C@@H](/C=C/[C@@](C1=O)(C)O)OC(=O)C)C(=O)N[C@H]3CC4=CC=CC=C4)C)O,None
50,d-ala2-metenkephalinamide,None,None,None
51,dcg-iv,None,[C@@H]1([C@@H](C1[C@@H](C(=O)O)N)C(=O)O)C(=O)O,None
52,dha,DB03756,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O,C22H32O2
53,dpcpx,None,CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3CCCC3,None
54,dznep,None,C1=CN=C(C2=C1N(C=N2)[C@@H]3C=C([C@H]([C@H]3O)O)CO)N,None
55,diethyl pyrocarbonate,None,CCOC(=O)OC(=O)OCC,None
56,egf,None,CC[C@H](C)[C@@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CS)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H]([C@@H](C)CC)C(=O)NCC(=O)N[C@@H](CC2=CC=C(C=C2)O)C(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CS)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC3=CNC4=CC=CC=C43)C(=O)N[C@@H](CC5=CNC6=CC=CC=C65)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O)NC(=O)[C@H](CC7=CN=CN7)NC(=O)[C@H](CCSC)NC(=O)[C@H](CS)NC(=O)[C@H](C(C)C)NC(=O)CNC(=O)CNC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CS)NC(=O)[C@H](CC8=CC=C(C=C8)O)NC(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC9=CC=C(C=C9)O)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CS)NC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CC1=CC=C(C=C1)O)NC(=O)[C@H](CO)NC(=O)[C@H](CC(=O)N)N,None
57,echistatin,None,CC[C@H](C)[C@@H](C(=O)N[C@@H](CS)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(=O)N)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CS)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(=O)N)C(=O)N3CCC[C@H]3C(=O)N[C@@H](CC4=CN=CN4)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N5CCC[C@H]5C(=O)N[C@@H](C)C(=O)N[C@@H]([C@@H](C)O)C(=O)O)NC(=O)[C@H]([C@@H](C)O)NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC6=CC=CC=C6)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CS)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CS)NC(=O)[C@H](CS)NC(=O)[C@@H]7CCCN7C(=O)CNC(=O)[C@H](CO)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CS)NC(=O)[C@H](CCC(=O)O)N,None
58,fbal,None,None,None
59,flavoridin,None,None,None
60,furafylline,DB14029,C1CC2C(CC1N2)C3=CC(=C(N=C3)F)C4=CC=C(C=C4)C#N,C18H16FN3
61,gl,None,CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-].[NH4+].[N+](=O)([O-])[O-],None
62,gsls,None,None,None
63,ganoderma lucidum extract,None,None,None
64,gliftor,None,C(C(CF)O)F.C(C(CCl)O)F,None
65,hyaluronan lyase,None,None,None
66,ibogaine,None,CC[C@H]1C[C@@H]2C[C@@H]3[C@H]1N(C2)CCC4=C3NC5=C4C=C(C=C5)OC,None
67,insp(3),None,None,None
68,john's wort,None,None,None
69,krm-1648,None,C[C@H]1/C=C/C=C(\C(=O)NC2=C3C(=C4C(=C(C(=C5C4=C([C@](O5)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)O)C)O)C2=O)N=C6C(=CC(=CC6=O)N7CCN(CC7)CC(C)C)O3)/C,None
70,l-ccg-1,None,C1[C@@H]([C@H]1C(=O)O)[C@@H](C(=O)O)N,None
71,l-name,DB12750,COC(=O)[C@H](CCCN=C(N)N[N+](=O)[O-])N,C7H15N5O4
72,leukocyte transfusions,None,None,None
73,mhd,None,CN1C=C(C2=CC=CC=C21)O,None
74,mpa,DB00603,C[C@H]1C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C,C24H34O4
75,mpag,None,CC1=C2COC(=O)C2=C(C(=C1OC)C/C=C(\C)/CCC(=O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O,None
76,mptp,None,CN1CCC(=CC1)C2=CC=CC=C2,None
77,mineral oil,DB11057,None,None
78,misonidazole,DB11716,COCC(CN1C=CN=C1[N+](=O)[O-])O,C7H11N3O4
79,n-allylnormetazocine,None,CC1C2CC3=C(C1(CCN2CC=C)C)C=C(C=C3)O,None
80,n-desmethylclozapine,DB05766,None,C17H17ClN4
81,n-desmethyldiazepam,DB14028,C1C(=O)NC2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3,C15H11ClN2O
82,n-methyllevallorphan,None,C[N+]1(CCC23CCCC[C@H]2[C@H]1CC4=C3C=C(C=C4)O)CC=C.[I-],None
83,n6-cyclopentyladenosine,None,C1CCC(C1)NC2=C3C(=NC=N2)N(C=N3)[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O,None
84,nanm,None,C=CCN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O,None
85,nacmc,None,None,None
86,paba,None,C1=CC(=CC=C1C(=O)O)N,None
87,pcp,DB03575,C1CCC(CC1)(C2=CC=CC=C2)N3CCCCC3,C17H25N
88,ptx,None,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C,None
89,palytoxin,None,C[C@H]1C[C@@]2([C@H](O[C@](C1)(O2)CCCCCCC[C@@H](C[C@@H]3[C@@H]([C@H]([C@H]([C@@](O3)(C[C@@H]([C@@H](C)/C=C/[C@H](CC[C@H]([C@H]([C@@H]4C[C@H]([C@@H]([C@H](O4)C[C@H]([C@@H](C[C@@H]5[C@H]([C@@H]([C@H]([C@@H](O5)C[C@@H](/C=C\C=C\C[C@H]([C@@H]([C@@H](C/C=C\C(=C)CC[C@@H]([C@H]([C@@H]([C@H](C)C[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)/C=C\[C@H]([C@@H](C[C@@H]7C[C@@H]8C[C@H](O7)[C@H](O8)CC[C@@H]9[C@@H](C[C@H](O9)CN)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)C[C@@H](C)CCCCC[C@H]([C@@H]([C@@H]([C@H]([C@@H]([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)C[C@@H]([C@@H](/C(=C/[C@@H](C[C@@H](C)[C@@H](C(=O)N/C=C/C(=O)NCCCO)O)O)/C)O)O)O)O)O)O)O)O)O)O)C,None
90,phencyclidine,DB03575,C1CCC(CC1)(C2=CC=CC=C2)N3CCCCC3,C17H25N
91,rr,None,C(C[C@@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)O)N)CN=C(N)N,None
92,resveratrol,DB02709,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O,C14H12O3
93,sch-23390,None,CN1CCC2=CC(=C(C=C2[C@H](C1)C3=CC=CC=C3)O)Cl,None
94,sn38,None,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=C1C=C(C=C5)O,None
95,tam,None,C(CO)C(CCO)(CCO)N,None
96,tml,None,C[Pb](C)(C)C,None
97,type ii pyrethroid,None,None,None
98,vma,None,COC1=C(C=CC(=C1)C(C(=O)O)O)O,None
99,zimelidine,DB04832,CN(C)C/C=C(/C1=CC=C(C=C1)Br)\C2=CN=CC=C2,C16H17BrN2
100,acetaldehyde,None,CC=O,None
101,adeno-associated virus-2,None,None,None
102,alcohols,None,CCO,None
103,alpha lipoic acid,DB00166,C1CSS[C@@H]1CCCCC(=O)O,C8H14O2S2
104,amizyl,None,CCN(CC)CCOC(=O)C(C1=CC=CC=C1)(C2=CC=CC=C2)O,None
105,angiotensin,DB11842,CC[C@H](C)[C@@H](C(=O)N[C@@H](CC1=CN=CN1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)O)NC(=O)[C@H](CC4=CC=C(C=C4)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(=O)O)N,None
106,angiotensin 1,None,None,None
107,angiotensin 2,None,CC[C@H](C)[C@@H](C(=O)N[C@@H](CC1=CN=CN1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)O)NC(=O)[C@H](CC4=CC=C(C=C4)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(=O)O)N,None
108,angiotensins,None,None,None
109,arsenate,None,[O-][As](=O)([O-])[O-],None
110,azoxymethane,None,CN=[N+](C)[O-],None
111,benzoxazinorifamycin,None,C[C@H]1/C=C/C=C(\C(=O)NC2=C3C(=C4C(=C(C(=C5C4=C([C@](O5)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)O)C)O)C2=O)N=C6C(=CC(=CC6=O)N7CCN(CC7)CC(C)C)O3)/C,None
112,benzyl alcohol,DB06770,C1=CC=C(C=C1)CO,C7H8O
113,beta-endorphin,None,CC[C@H](C)[C@@H](C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)O)NC(=O)[C@H](C)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]3CCCN3C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC4=CC=CC=C4)NC(=O)CNC(=O)CNC(=O)[C@H](CC5=CC=C(C=C5)O)N,None
114,bombesin,DB11724,C[C@@H](C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N[C@@H](CC1=CNC=N1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCSC)C(=O)N)NC(=O)[C@H](CC2=CNC3=CC=CC=C32)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CC(=O)N)NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@@H]4CCC(=O)N4,C71H110N24O18S
115,carbamate insecticide,None,None,None
116,"carbamazepine 10, 11 epoxide",None,None,None
117,carboxymethylcellulose-cysteine,None,None,None
118,carboxytolbutamide,None,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C(=O)O,None
119,cerulein,DB00403,C[C@H]([C@@H](C(=O)NCC(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)N)NC(=O)[C@H](CC4=CC=C(C=C4)OS(=O)(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@@H]5CCC(=O)N5)O,C58H73N13O21S2
120,chondroitin abc lyase,None,None,None
121,clozapine n-oxide,None,C[N+]1(CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42)[O-],None
122,collagenase,DB00048,None,C5028H7666N1300O1564S21
123,contortrostatin,None,None,None
124,copper sulfate,DB06778,[O-]S(=O)(=O)[O-].[Cu+2],CuO4S
125,coumaphos,DB11390,CCOP(=S)(OCC)OC1=CC2=C(C=C1)C(=C(C(=O)O2)Cl)C,C14H16ClO5PS
126,cross-reacting material 197,None,None,None
127,dapsone hydroxylamine,None,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)NO,None
128,dehydro-aripiprazole,None,C1CN(CCN1CCCCOC2=CC3=C(C=C2)C=CC(=O)N3)C4=C(C(=CC=C4)Cl)Cl,None
129,dehydroaripiprazole,None,C1CN(CCN1CCCCOC2=CC3=C(C=C2)C=CC(=O)N3)C4=C(C(=CC=C4)Cl)Cl,None
130,desacetyldiltiazem,None,CN(C)CCN1C2=CC=CC=C2S[C@H]([C@H](C1=O)O)C3=CC=C(C=C3)OC,None
131,desbutyl levobupivacaine,None,None,None
132,desethyloxybutynin,None,CCNCC#CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O,None
133,desglymidodrine,None,COC1=CC(=C(C=C1)OC)C(CN)O,None
134,desmethylastemizole,None,C1CN(CCC1NC2=NC3=CC=CC=C3N2CC4=CC=C(C=C4)F)CCC5=CC=C(C=C5)O,None
135,desmethylastermizole,None,None,None
136,desmethyldiazepam,DB14028,C1C(=O)NC2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3,C15H11ClN2O
137,desmethyldiltiazem,None,CC(=O)OC1C(SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)O,None
138,diethyldithiocarbamate,DB02520,CCN(CC)C(=S)S,C5H11NS2
139,dmpge2,None,CCCCC(C)(C)[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1C/C=C\CCCC(=O)O)O)O,None
140,doxorubicinol,None,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)([C@H](CO)O)O)N)O,None
141,endotoxin,None,CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@@H]1[C@H]([C@@H](O[C@@H]([C@H]1OP(=O)(O)O)CO[C@@]2(C[C@H]([C@@H]([C@H](O2)[C@H](CO)O)OC3[C@H]([C@H]([C@@H]([C@H](O3)[C@H](CO)O)OP(=O)(O)OP(=O)(O)OCCN)OC4[C@H]([C@H]([C@@H]([C@H](O4)[C@H](COC5[C@H]([C@H]([C@@H]([C@H](O5)[C@H](CO)O)OP(=O)(O)O)O)O)O)O)OC6[C@@H]([C@H]([C@@H]([C@H](O6)CO[C@@H]7[C@@H]([C@H]([C@H]([C@H](O7)CO)O)O)O)O)O[C@@H]8[C@@H]([C@H]([C@H]([C@H](O8)CO)O)O)OC9[C@@H]([C@H]([C@@H]([C@H](O9)CO)O)O[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)NC(=O)C)O)O[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O[C@@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO[C@@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O)O)O)O)NC(=O)C)NC(=O)C)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)NC(=O)C)O)O)O)O[C@@]1(C[C@H]([C@@H]([C@H](O1)[C@H](CO)O)O)O[C@@]1(C[C@H]([C@@H]([C@H](O1)[C@H](CO)O)O)OP(=O)(O)OCCN)C(=O)O)C(=O)O)C(=O)O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)O)NC(=O)C[C@@H](CCCCCCCCCCC)O)OC(=O)C[C@@H](CCCCCCCCCCC)O)O)NC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC,None
142,endoxifen,None,CC/C(=C(\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)OCCNC)/C3=CC=CC=C3,None
143,enkephalins,None,CC(C)C[C@@H](C(=O)O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)CNC(=O)CNC(=O)[C@H](CC2=CC=C(C=C2)O)N,None
144,erythrohydrobupropion,None,C[C@H]([C@H](C1=CC(=CC=C1)Cl)O)NC(C)(C)C,None
145,ethoxycoumarin,None,CCOC1=CC2=CC=CC=C2OC1=O,None
146,fenofibric acid,DB13873,CC(C)(C(=O)O)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,C17H15ClO4
147,filipin,None,CCCCC[C@H]([C@@H]1[C@H](C[C@H](C[C@H](C[C@H](C[C@H](C[C@H](C[C@@H](/C(=C/C=C/C=C/C=C/C=C/[C@@H]([C@H](OC1=O)C)O)/C)O)O)O)O)O)O)O)O,None
148,fosinoprilat,DB14207,C1CCC(CC1)[C@@H]2C[C@H](N(C2)C(=O)CP(=O)(CCCCC3=CC=CC=C3)O)C(=O)O,C23H34NO5P
149,ginseng stem-and-leaf saponins,None,None,None
150,ginsenosides,DB14152,CC(=CCCC(C)([C@H]1CC[C@@]2(C1CC[C@H]3[C@]2(CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C)O)C,C30H52O2
151,hemantane,None,C1CCCN(CC1)C2C3CC4CC(C3)CC2C4,None
152,heparinase iii,None,None,None
153,heroin,DB01452,CC(=O)O[C@H]1C=C[C@H]2[C@H]3CC4=C5[C@]2([C@H]1OC5=C(C=C4)OC(=O)C)CCN3C,C21H23NO5
154,hydrodolasetron,None,C1C2CC3CC(CC1N3CC2O)OC(=O)C4=CNC5=CC=CC=C54,None
155,hydroxybupropion,None,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)CO,None
156,hydroxyitraconazole,None,CC(C(C)O)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl,None
157,hydroxylamine,None,NO,None
158,hydroxylated fenoprofen,None,None,None
159,imexon,DB05003,C1C2N1C(=O)N=C2N,C4H5N3O
160,"inositol 1,4,5-trisphosphate",DB03401,[C@H]1([C@@H]([C@H]([C@@H]([C@H]([C@@H]1OP(=O)(O)O)O)OP(=O)(O)O)OP(=O)(O)O)O)O,C6H15O15P3
161,iron,DB00115,CC1=CC2=C(C=C1C)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)([O-])O[C@H](C)CNC(=O)CC[C@@]4([C@H]([C@@H]5[C@]6([C@@]([C@@H](/C(=C(/C7=N/C(=C\C8=N/C(=C(\C4=N5)/C)/[C@H](C8(C)C)CCC(=O)N)/[C@H]([C@]7(C)CC(=O)N)CCC(=O)N)\C)/[N-]6)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+3],C63H88CoN14O14P
162,lead,None,[Pb],None
163,methanol,None,CO,None
164,methylglyoxal,DB03587,CC(=O)C=O,C3H4O2
165,neurotensin,None,CC[C@H](C)[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)O)NC(=O)[C@H](CC1=CC=C(C=C1)O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]3CCCN3C(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC4=CC=C(C=C4)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]5CCC(=O)N5,None
166,norbuprenorphine,None,C[C@]([C@H]1C[C@@]23CC[C@@]1([C@H]4[C@@]25CCN[C@@H]3CC6=C5C(=C(C=C6)O)O4)OC)(C(C)(C)C)O,None
167,norfluoxetine,None,C1=CC=C(C=C1)C(CCN)OC2=CC=C(C=C2)C(F)(F)F,None
168,norketamine,None,C1CCC(C(=O)C1)(C2=CC=CC=C2Cl)N,None
169,nortriptyline,DB00540,CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,C19H21N
170,olprinone,DB16847,None,C14H10N4O
